name|parent|paperCount
Health Professions|Health Sciences
Health Sciences|All Topics
Participatory Visual Research Methods in Social Science|Sociology and Political Science|1
Importance and Conservation of Freshwater Biodiversity|Nature and Landscape Conservation|79
Nature and Landscape Conservation|Environmental Science
Application of Stable Isotopes in Trophic Ecology|Ecology|195
Unmanned Aerial Vehicle Communications|Aerospace Engineering|1
Aerospace Engineering|Engineering
Governance of Global Value Chains and Production Networks|Strategy and Management|1
Strategy and Management|Business, Management and Accounting
Business, Management and Accounting|Social Sciences (Domain)
Frugal Innovation in Emerging Markets|Business and International Management|2
Business and International Management|Business, Management and Accounting
Conceptualizing the Circular Economy and Sustainable Supply Chains|Strategy and Management|2
Institutions and Economic Growth: Empirical Investigations and Theories|Economics and Econometrics|1
Economics and Econometrics|Economics, Econometrics and Finance
Economics, Econometrics and Finance|Social Sciences (Domain)
Determinants of Health Care Expenditure and Longevity|General Health Professions|1
Income Inequality and Poverty Dynamics|Sociology and Political Science|1
Health and Well-being of Arctic Indigenous Peoples|General Health Professions|14
Traceability in Food Supply Chain Management|Food Science|2
Food Science|Agricultural and Biological Sciences
Agricultural and Biological Sciences|Life Sciences
Breath Analysis Technology|Biomedical Engineering|3
Biomedical Engineering|Engineering
Wireless Home Automation Systems|Electrical and Electronic Engineering|1
Electrical and Electronic Engineering|Engineering
Length-Weight Relationships of Fish Species|Aquatic Science|18
Aquatic Science|Agricultural and Biological Sciences
Global Analysis of Ecosystem Services and Land Use|Global and Planetary Change|57
Impact of Nighttime Light Data on Various Fields|Global and Planetary Change|6
Spatial Microsimulation Models for Policy Analysis|Management Science and Operations Research|2
Management Science and Operations Research|Decision Sciences
Influence of Culture on Economic and Social Development|Demography|1
Demography|Social Sciences (Field)
Information and Communication Technology and Financial Access in Africa|Information Systems|1
Causes and Effects of Corruption|Sociology and Political Science|1
DNA Barcoding for Food Authentication and Fraud Detection|Molecular Biology|38
Food Safety and Hygiene Practices|Food Science|1
Challenges and Policy Implications of Biodiversity Offsets|Management, Monitoring, Policy and Law|6
Drivers and Impacts of Tropical Deforestation|Global and Planetary Change|37
Coastal Dynamics and Climate Change Impacts|Earth-Surface Processes|222
Earth-Surface Processes|Earth and Planetary Sciences
Climate Change and Environmental Science|Global and Planetary Change|3
Influence of Corporations on Public Health Policy|Organizational Behavior and Human Resource Management|4
Organizational Behavior and Human Resource Management|Business, Management and Accounting
Impact of Climate Change on Human Health|Health, Toxicology and Mutagenesis|9
Health, Toxicology and Mutagenesis|Environmental Science
Global Sea Level Variability and Change|Oceanography|37
Stable Isotope Analysis of Groundwater and Precipitation|Geochemistry and Petrology|16
Geochemistry and Petrology|Earth and Planetary Sciences
Global Flood Risk Assessment and Management|Global and Planetary Change|41
Climate Change and Environmental Impact|Global and Planetary Change|2
Stratospheric Chemistry and Climate Change Impacts|Atmospheric Science|7
Remote Sensing of Soil Moisture|Environmental Engineering|4
Environmental Engineering|Environmental Science
Real-time Water Quality Monitoring and Aquaculture Management|Water Science and Technology|9
Water Science and Technology|Environmental Science
Cryogenic Fluid Storage and Management|Aerospace Engineering|5
Environmental Impact of Maritime Transportation Emissions|Environmental Engineering|13
Advances in Chemical Sensor Technologies|Bioengineering|3
Bioengineering|Chemical Engineering
Chemical Engineering|Physical Sciences
Process Fault Detection and Diagnosis in Industries|Control and Systems Engineering|1
Control and Systems Engineering|Engineering
Ultrasonic Flow Measurement Techniques|Mechanics of Materials|1
Mechanics of Materials|Engineering
On-line Monitoring of Wastewater Quality|Industrial and Manufacturing Engineering (Environmental Science)|4
Industrial and Manufacturing Engineering (Environmental Science)|Environmental Science
Assessment of Surface Water Quality|Water Science and Technology|7
Analytical Chemistry Techniques|Analytical Chemistry|15
Analytical Chemistry|Chemistry
Chemistry|Physical Sciences
Electrochemical Detection of Heavy Metal Ions|Electrochemistry|1
Electrochemistry|Chemistry
Arctic Permafrost Dynamics and Climate Change|Atmospheric Science|21
Injuries in Alpine Skiing and Snowboarding|Pulmonary and Respiratory Medicine|5
Pulmonary and Respiratory Medicine|Medicine
Medicine|Health Sciences
Evolution and Diversity of Cnidarians and Jellyfish Blooms|Paleontology|16
Paleontology|Earth and Planetary Sciences
Harmful Algal Blooms and Marine Toxins|Environmental Chemistry|28
RNA Sequencing Data Analysis|Molecular Biology|25
Ecology and Evolution of Viruses in Ecosystems|Ecology|23
Epidemiology and Pathogenesis of Respiratory Viral Infections|Epidemiology|4
Epidemiology|Medicine
Optimizing Information Freshness in Communication Networks|Computer Networks and Communications|1
Computer Networks and Communications|Computer Science
Bacterial Pathogenesis in Animal and Human Health|Microbiology|1
Microbiology|Immunology and Microbiology
Immunology and Microbiology|Life Sciences
Eutrophication and Harmful Algal Blooms|Environmental Chemistry|32
Paleoceanography and Geology of the Black Sea|Oceanography|46
Cephalopod Biology and Behavior|Ecology, Evolution, Behavior and Systematics|35
Ecology, Evolution, Behavior and Systematics|Agricultural and Biological Sciences
Viral RNA Silencing and Plant Immunity|Plant Science|6
Plant Science|Agricultural and Biological Sciences
Metabolic Theory of Ecology and Climate Change Impacts|Ecology|26
Biogeochemical Cycling of Nutrients in Aquatic Ecosystems|Environmental Chemistry|30
Sponge-Associated Microorganisms and Biotechnological Potential|Biotechnology|36
Biotechnology|Biochemistry, Genetics and Molecular Biology
Population Genetic Structure and Dynamics|Genetics|24
Genetics|Biochemistry, Genetics and Molecular Biology
Conservation of Sharks and Rays|Nature and Landscape Conservation|85
Structure and Function of Nicotinic Receptors|Molecular Biology|3
Importance of Mangrove Ecosystems in Coastal Protection|Ecology|318
Ecological Impact of Freshwater Mussels|Ecology|21
Microbial Diversity in Antarctic Ecosystems|Ecology|29
Ecological Interactions of Parasites in Ecosystems|Ecology|13
Metabolism and Nutrition in Aquaculture Feeds|Aquatic Science|30
Genetic and Pathogenic Study of Plague Bacteria|Genetics|3
Snake Venom Evolution and Toxinology|Genetics|4
Viral Diseases in Livestock and Poultry|Animal Science and Zoology|1
Animal Science and Zoology|Agricultural and Biological Sciences
Impact of Pollinator Decline on Ecosystems and Agriculture|Ecology, Evolution, Behavior and Systematics|12
Anticipating Critical Transitions in Ecosystems|Global and Planetary Change|10
Discrete Choice Models in Economics and Health Care|Economics and Econometrics|20
Development of Antifouling Coatings for Marine Applications|Ocean Engineering|53
Impacts of Crayfish Invasions on Freshwater Ecosystems|Ecology|17
Food Security and Nutrition Research|Food Science|9
Environmental Impact of Heavy Metal Contamination|Pollution|28
Acid Mine Drainage Remediation and Biogeochemistry|Environmental Chemistry|2
Toxicology and Environmental Impacts of Mercury Contamination|Health, Toxicology and Mutagenesis|57
High-Value Components and Bioactives from Sea Cucumbers|Aquatic Science|14
Geochemistry of Manganese Oxides in Sedimentary Environments|Geochemistry and Petrology|33
Paleoredox and Paleoproductivity Proxies|Paleontology|18
Evolutionary Patterns in Subterranean Environments|Paleontology|1
Illegal Trade and Conservation of Parrots|Nature and Landscape Conservation|5
Global Impact of Sex Work and Trafficking|Sociology and Political Science|3
Statistical Computing and Data Analysis in R|Artificial Intelligence|1
Evolutionary Ecology of Animal Behavior and Traits|Ecology, Evolution, Behavior and Systematics|14
Biogeography and Conservation of Neotropical Freshwater Fishes|Nature and Landscape Conservation|2
Evolutionary History and Diversity of Dinosaurs|Paleontology|2
Endocrine Disruption by Chemical Exposure|Health, Toxicology and Mutagenesis|20
Antibiotic Resistance in Aquatic Environments and Wastewater|Pollution|56
Conservation and Management of Marine Turtles Worldwide|Nature and Landscape Conservation|50
Avian Vocal Communication and Evolutionary Implications|Developmental Biology|37
Developmental Biology|Biochemistry, Genetics and Molecular Biology
Impact of Persistent Organic Pollutants on Environment and Health|Health, Toxicology and Mutagenesis|51
Assessment of Animal Welfare in Various Species|Small Animals|1
Small Animals|Veterinary
Veterinary|Health Sciences
Affective Geographies and Multispecies Ethnography|Geography, Planning and Development|1
Factors Affecting Meat Quality and Preservation|Animal Science and Zoology|1
Physiological Effects of Space Travel and Microgravity|Physiology (Medicine)|1
Physiology (Medicine)|Medicine
Integrating Ecology and Environmental Ethics for Earth Stewardship|Ecology|4
Rabies Virus Transmission and Control|Virology|3
Virology|Immunology and Microbiology
Interdisciplinary Study of Islands and Island Nations|Demography|26
Global Amphibian Declines and Extinctions|Global and Planetary Change|35
Evolution of Social Behavior in Primates|Social Psychology|2
Social Psychology|Psychology
Psychology|Social Sciences (Domain)
Genomic Selection in Plant and Animal Breeding|Genetics|1
Genomic Insights into Social Insects and Symbiosis|Genetics|1
Human Attitudes and Interactions with Animals and Plants|Social Psychology|4
Malaria Parasites in Birds|Parasitology|4
Parasitology|Immunology and Microbiology
Evolutionary Dynamics of Mammals and Their Ancestors|Paleontology|2
Ecology and Behavior of Bats|Ecology, Evolution, Behavior and Systematics|5
Tourism and its Impact on Communities|Sociology and Political Science|11
Anterior Cruciate Ligament Injuries in Athletes|Surgery|1
Surgery|Medicine
Aquatic Ecotoxicology and Biomarkers of Pollution|Health, Toxicology and Mutagenesis|21
Ecological Effects of Roads on Wildlife and Habitat Connectivity|Ecology|7
Factors Affecting Sagebrush Ecosystems and Wildlife Conservation|Ecology|1
Impact of Climate Change on Forest Wildfires|Global and Planetary Change|4
Social Acceptance of Renewable Energy Innovation|Sociology and Political Science|18
Biodiversity Conservation and Ecosystem Management|Nature and Landscape Conservation|14
Ecological Impact of Invasive Species on Islands|Ecology|15
Wind Energy Technology and Aerodynamics|Aerospace Engineering|14
Global E-Waste Recycling and Management|Industrial and Manufacturing Engineering (Environmental Science)|73
Solid Waste Management|Industrial and Manufacturing Engineering (Environmental Science)|3
Impact of Pesticides on Honey Bee Health|Insect Science|3
Insect Science|Agricultural and Biological Sciences
Remote Sensing in Vegetation Monitoring and Phenology|Ecology|4
Management of Water Quality and Pollution|Water Science and Technology|1
Human Impact on Marine Ecology and Fisheries|Ecology|2
Impact of Oil Palm Expansion on Biodiversity|Ecology|23
Biodiversity of Vascular Plants in Korea|Plant Science|15
Molecular Systematics of Gesneriaceae and Allies|Molecular Biology|29
Drivers and Impacts of Forest Pest Dynamics|Ecology|4
Parasitism of Snails and Associated Diseases|Insect Science|1
Therapeutic Potential of Boswellic Acids and Related Compounds|Pharmacology (Medicine)|1
Pharmacology (Medicine)|Medicine
Diversity and Phylogeny of Earthworms|Ecology, Evolution, Behavior and Systematics|9
Lichen Symbiotic Relationships and Ecological Impact|Ecology, Evolution, Behavior and Systematics|3
Mycorrhizal Fungi and Plant Interactions|Plant Science|6
Diversity and Conservation of Vascular Plants in Central Europe|Plant Science|13
Diversity and Evolution of Fungal Pathogens|Cell Biology|14
Cell Biology|Biochemistry, Genetics and Molecular Biology
Evolution and Diversity of Vascular Epiphytes and Ferns|Ecology, Evolution, Behavior and Systematics|2
Vascular Flora of Mediterranean Europe and North Africa|Plant Science|2
Biomimetic Nanotechnology in Material Synthesis and Assembly|Biomaterials|3
Biomaterials|Materials Science
Materials Science|Physical Sciences
Carbon Dynamics in Peatland Ecosystems|Ecology|8
Integrated Management of Water, Energy, and Food Resources|Water Science and Technology|7
Evolution and Classification of Flowering Plants|Ecology, Evolution, Behavior and Systematics|3
Phylogeny and Evolution of Grasses (Poaceae)|Ecology, Evolution, Behavior and Systematics|11
Systematics and Phylogeny of Brassicaceae|Ecology, Evolution, Behavior and Systematics|3
Saproxylic Insect Ecology and Forest Management|Insect Science|2
Aeolian Geomorphology and Wind Erosion Dynamics|Earth-Surface Processes|34
Detection and Impact of Oil Spills|Pollution|20
Bioactive Compounds in Seaweed|Aquatic Science|9
Diversity and Evolution of Bryophytes|Ecology, Evolution, Behavior and Systematics|3
Evolution and Ecology of Endophyte-Grass Symbiosis|Ecology, Evolution, Behavior and Systematics|2
Medicinal Plants and Their Bioactivities|Plant Science|1
Phylogenetic Analysis of Spiders and Their Evolution|Genetics|1
Artificial Diet Rearing System for Silkworm Bombyx mori|Insect Science|1
Diversity and Applications of Cyperus Species|Plant Science|1
Evolution and Nutritional Properties of Lupin Seeds|Ecology, Evolution, Behavior and Systematics|1
Regulation of Seed Dormancy and Germination|Plant Science|1
Molecular Mechanisms of Plant Development and Regulation|Plant Science|1
Hydrogen Energy Systems and Technologies|Energy Engineering and Power Technology|7
Energy Engineering and Power Technology|Energy
Energy|Physical Sciences
Integration of Renewable Energy Systems in Power Grids|Electrical and Electronic Engineering|4
Global Energy Transition and Fossil Fuel Depletion|Renewable Energy, Sustainability and the Environment|9
Renewable Energy, Sustainability and the Environment|Energy
Economic Impact of Environmental Policies and Resources|Economics and Econometrics|1
Emerging Zoonotic Diseases and One Health Approach|Public Health, Environmental and Occupational Health|2
Public Health, Environmental and Occupational Health|Medicine
The Exposome in Environmental Health Research|Health, Toxicology and Mutagenesis|2
Wave Energy Conversion Technologies and Resource Assessment|Ocean Engineering|8
Coastal Hydrophysical Processes in Shallow Water Basins|Earth-Surface Processes|4
Impact of Climate Change on Ecosystems and Industries|Global and Planetary Change|1
Rock Mechanics and Wave Propagation in Geomedia|Mechanics of Materials|1
Underground Coal Gasification: Fundamentals and Applications|Mechanical Engineering|1
Geological Evolution of the Arctic Region|Geology|8
Impact of Urban Green Space on Public Health|Health, Toxicology and Mutagenesis|14
Effects of Noise Pollution on Health and Well-being|Speech and Hearing|4
Speech and Hearing|Health Professions
Urban Heat Islands and Mitigation Strategies|Environmental Engineering|2
Natural Products as Sources of New Drugs|Pharmacology (Medicine)|15
Pharmacological Effects of Licorice Roots|Pharmacology (Pharmacology, Toxicology and Pharmaceutics)|1
Pharmacology (Pharmacology, Toxicology and Pharmaceutics)|Pharmacology, Toxicology and Pharmaceutics
Pharmacology, Toxicology and Pharmaceutics|Life Sciences
Judicial Review in European Legal Systems|Political Science and International Relations|1
Political Science and International Relations|Social Sciences (Field)
Cruise Tourism in the Caribbean and Beyond|Transportation|10
Transportation|Social Sciences (Field)
Life History and Ecology of Seahorses|Aquatic Science|1
Influence of Climate on Human Conflict|Sociology and Political Science|3
Fiber Reinforced Concrete in Civil Engineering|Civil and Structural Engineering|2
Civil and Structural Engineering|Engineering
Fiber-Reinforced Polymer Composites in Construction|Building and Construction|1
Building and Construction|Engineering
Reinforcement Corrosion in Concrete Structures|Civil and Structural Engineering|2
Factors Influencing Pro-environmental Behavior|Management, Monitoring, Policy and Law|5
Olfactory Dysfunction in Health and Disease|Sensory Systems|1
Sensory Systems|Neuroscience
Neuroscience|Life Sciences
Optimization of Container Terminal Operations and Logistics|Industrial and Manufacturing Engineering (Engineering)|7
Industrial and Manufacturing Engineering (Engineering)|Engineering
Evolution of Cooperation and Altruism in Social Systems|Sociology and Political Science|3
Polyamines and Biogenic Amines in Biology and Health|Molecular Biology|1
Role of Nrf2 Signaling in Oxidative Stress Response|Molecular Biology|1
Characteristics, Failure, and Remediation of Mine Tailings Dams|Civil and Structural Engineering|1
Democratization and Decentralization in Indonesia|Sociology and Political Science|2
Multiculturalism and Social Control in Singapore|Sociology and Political Science|1
Impacts of Warfare on Environment and Food Security|Management, Monitoring, Policy and Law|1
Geopolymer and Alternative Cementitious Materials|Civil and Structural Engineering|1
Land Use Change and Environmental Impact in China|Global and Planetary Change|2
Immunological Responses in Aquatic Organisms|Immunology|12
Immunology|Immunology and Microbiology
Lifestyle Migration and Retirement Mobility|Demography|3
3D Geospatial Modelling Techniques|Geology|1
Mapping Forests with Lidar Remote Sensing|Environmental Engineering|7
Synthetic Aperture Radar Interferometry|Aerospace Engineering|4
Evolution and Sustainability of Livestock Farming Systems|Ecology, Evolution, Behavior and Systematics|1
Impact of Food Insecurity on Health Outcomes|General Health Professions|1
Tectonic and Geochronological Evolution of Orogens|Geophysics|10
Seismicity and Tectonic Plate Interactions|Geophysics|11
Climate Change and Sustainable Development|Global and Planetary Change|1
Subsea Oil and Gas Technology|Ocean Engineering|6
Sedimentary Processes in Earth's Geology|Earth-Surface Processes|58
Viral Hemorrhagic Fevers and Zoonotic Infections|Infectious Diseases|2
Infectious Diseases|Medicine
Global Impact of Arboviral Diseases|Public Health, Environmental and Occupational Health|1
Hyperspectral Image Analysis and Classification|Media Technology|3
Media Technology|Engineering
Economic Implications of Climate Change Policies|Economics and Econometrics|3
Microbial Bioremediation of Organic Pollutants|Pollution|2
Chemistry and Biology of Antitumor Antibiotics|Cancer Research|5
Cancer Research|Biochemistry, Genetics and Molecular Biology
Ecological Dynamics of African Great Lakes|Ecology|5
Ship Recycling and Offshore Decommissioning|Ocean Engineering|17
Applications of Remote Sensing in Geoscience and Agriculture|Atmospheric Science|2
Perceptions and Communication of Climate Change|Sociology and Political Science|4
The Impact of Digital Media on Public Discourse|Communication|1
Communication|Social Sciences (Field)
Mapping Groundwater Potential Zones Using GIS Techniques|Environmental Engineering|1
Automatic Keyword Extraction from Textual Data|Artificial Intelligence|1
Hydrological Modeling and Water Resource Management|Water Science and Technology|6
Economic and Environmental Dynamics of New Zealand|Economics and Econometrics|1
Global Drought Monitoring and Assessment|Global and Planetary Change|2
Optimal Operation of Water Resources Systems|Ocean Engineering|2
Land Tenure and Property Rights in Agriculture|Soil Science|1
Soil Science|Agricultural and Biological Sciences
Plant Responses to Flooding Stress|Plant Science|11
Multidisciplinary Research in Indonesia|Demography|16
Social and Cultural Development in Vietnam|Sociology and Political Science|1
Socio-Demographic and Political Dynamics in Cambodia|Sociology and Political Science|2
Models for Reducing Power Consumption in Computing Systems|Hardware and Architecture|1
Hardware and Architecture|Computer Science
Impact of Big Data on Society and Industry|Information Systems and Management|1
Impact of Food Processing on Nutrient Composition|Food Science|1
Soil Erosion and Agricultural Sustainability|Soil Science|7
Symbiotic Nitrogen Fixation in Legumes|Plant Science|2
Estimation of Forest Biomass and Carbon Stocks|Nature and Landscape Conservation|1
Cyanogenic Glycosides in Plants and Industrial Wastewaters|Plant Science|4
Characterization of Shale Gas Pore Structure|Mechanics of Materials|27
Interdependence in Science and Society|Sociology and Political Science|2
Ecological Rewilding and Conservation Ethics|Nature and Landscape Conservation|2
Application of Constructed Wetlands for Wastewater Treatment|Industrial and Manufacturing Engineering (Environmental Science)|2
DNA Barcoding for Lepidoptera Taxonomy and Evolution|Genetics|1
Plant-Parasitic Nematodes in Molecular Plant Pathology|Plant Science|2
Geodynamic Evolution of Western Mediterranean Region|Geophysics|3
Chromium Bioremediation and Health Impacts|Health, Toxicology and Mutagenesis|1
Sustainable Development in Mining and Minerals Industry|Building and Construction|16
Invertebrate Immunity and Host Defense Mechanisms|Immunology|3
Environmental Impacts of Fukushima Nuclear Disaster|Global and Planetary Change|17
Olefin Metathesis Chemistry|Organic Chemistry|1
Organic Chemistry|Chemistry
Landslide Hazards and Risk Assessment|Management, Monitoring, Policy and Law|3
Advanced Techniques in Reservoir Management|Ocean Engineering|4
Hydraulic Fracturing in Shale Gas Reservoirs|Mechanical Engineering|2
Seismic Waveform Inversion in Geophysics|Geophysics|2
Biological Soil Crusts and their Roles in Ecosystems|Ecology, Evolution, Behavior and Systematics|2
Solar Water Splitting Technology|Renewable Energy, Sustainability and the Environment|1
Genomic Analysis of Ancient DNA|Genetics|1
Patent Foramen Ovale and Cerebrovascular Events|Pulmonary and Respiratory Medicine|2
Chemistry of Actinide and Lanthanide Elements|Inorganic Chemistry|13
Inorganic Chemistry|Chemistry
Geological Modeling and Uncertainty Analysis|Geochemistry and Petrology|1
Mantle Dynamics and Earth's Structure|Geophysics|2
Evolutionary Innovations and Conservation of Cycads|Ecology, Evolution, Behavior and Systematics|1
Microalgae as a Source for Biofuels Production|Renewable Energy, Sustainability and the Environment|3
Principles and Governance of International Environmental Law|Management, Monitoring, Policy and Law|4
Sources and Effects of Ionizing Radiation on Human Health|Radiological and Ultrasound Technology|9
Radiological and Ultrasound Technology|Health Professions
Diversity and Function of Gut Microbiome|Molecular Biology|4
Geodynamics of the Northern Andes and Caribbean Region|Geophysics|1
Antimicrobial Peptides in Host Defense and Therapy|Microbiology|2
Molecular Chaperones in Protein Folding and Disease|Molecular Biology|1
Magnetosome Formation in Prokaryotes|Molecular Biology|2
Metabolic Engineering and Synthetic Biology|Molecular Biology|3
Reproductive Physiology and Endocrine Disruption in Fish|Physiology (Biochemistry, Genetics and Molecular Biology)|9
Physiology (Biochemistry, Genetics and Molecular Biology)|Biochemistry, Genetics and Molecular Biology
Impact of Tsunami on Structures and Infrastructure|Civil and Structural Engineering|1
Marine Safety and Industrial Risk Management|Ocean Engineering|1
Understanding Human Connection to Places|Sociology and Political Science|5
Agroecology and Global Food Systems|General Agricultural and Biological Sciences|1
General Agricultural and Biological Sciences|Agricultural and Biological Sciences
Psychological and Sociocultural Aspects of Extreme Sports|Social Psychology|2
Fashion Trends among Generation Z|Cultural Studies|1
Cultural Studies|Social Sciences (Field)
Volunteer Tourism and Global Development Impacts|Demography|1
Comparative Analysis of Networking Dynamics in the Middle East and Asia|Sociology and Political Science|1
Rural Development and Change in Agricultural Landscapes|General Agricultural and Biological Sciences|2
Advancements in Water Purification Technologies|Water Science and Technology|6
Solar-Powered Water Desalination Technologies|Renewable Energy, Sustainability and the Environment|1
Concepts and Determinants of Regional Economic Resilience|Economics and Econometrics|1
Adaptation to Climate Change in Agriculture|Ecology, Evolution, Behavior and Systematics|6
Cross-Border Regions in Europe and North America|Political Science and International Relations|1
Human Evolution and Behavioral Modernity|Anthropology|2
Anthropology|Social Sciences (Field)
Radiocarbon Dating and Agricultural Origins|Paleontology|3
Transformation of Rural Settlement Patterns in Russia|Demography|1
Waterborne Disease Outbreaks and Pathogen Transport|Water Science and Technology|5
Global Burden of Child Injury Prevention|Public Health, Environmental and Occupational Health|4
Neonatal Lung Development and Respiratory Morbidity|Pulmonary and Respiratory Medicine|1
Influence of Built Environment on Active Travel|Transportation|7
Analysis of Traffic Safety and Driver Behavior|Safety, Risk, Reliability and Quality|1
Safety, Risk, Reliability and Quality|Engineering
Forensic Toxicology Methods and Analysis|Toxicology|2
Toxicology|Pharmacology, Toxicology and Pharmaceutics
Nanotoxicology and Antimicrobial Nanoparticles|Materials Chemistry|7
Materials Chemistry|Materials Science
Understanding Attitudes Towards Public Transport and Private Car|Transportation|1
Gastrointestinal Viral Infections and Vaccines Development|Infectious Diseases|2
Hepatitis E Infection and Treatment|Hepatology|1
Hepatology|Medicine
Maternal and Child Nutrition in Developing Countries|Nutrition and Dietetics|13
Nutrition and Dietetics|Nursing
Nursing|Health Sciences
Principles and Applications of Green Chemistry|Environmental Chemistry|3
Role of Positive Emotions in Well-Being|Social Psychology|1
Effects of Residential Segregation on Communities and Individuals|Sociology and Political Science|2
Health Effects of Air Pollution|Health, Toxicology and Mutagenesis|12
Dynamics and Pathogenesis of Cholera Bacteria|Endocrinology|6
Endocrinology|Biochemistry, Genetics and Molecular Biology
Risk Perception and Communication in Society|Sociology and Political Science|3
Impact of Social Factors on Health Outcomes|Health|4
Indoor Air Quality and Health Effects|Health, Toxicology and Mutagenesis|4
Biodegradable Polymers as Biomaterials and Packaging|Biomaterials|10
Global Trends in Obesity and Overweight Research|Public Health, Environmental and Occupational Health|3
Supporting Health Care Transition from Adolescence to Adulthood|Speech and Hearing|1
Effects of Physical Activity on Health Outcomes|Physiology (Medicine)|1
Role of Omega-3 Fatty Acids in Health|Nutrition and Dietetics|3
Role of Mediterranean Diet in Health Outcomes|Public Health, Environmental and Occupational Health|2
Bacterial Biofilms and Quorum Sensing Mechanisms|Molecular Biology|1
Global Burden of Foodborne Pathogens|Food Science|2
Global Challenge of Antibiotic Resistance in Bacteria|Molecular Medicine|7
Molecular Medicine|Biochemistry, Genetics and Molecular Biology
Global Burden of Antimicrobial Resistance|Applied Microbiology and Biotechnology|1
Applied Microbiology and Biotechnology|Immunology and Microbiology
Environmental Justice and Inequality in Urban Development|Sociology and Political Science|3
